state,name,uf,inserted_at,updated_at
Parana,Angulo,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Bom Principio,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Planalto,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Piaui,Coronel Jose Dias,PI,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Teodoro Sampaio,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Esteio,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Montezuma,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Parana,Pinhalao,PR,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Taiacu,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Amparo,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Aimores,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Ponto Chique,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Inubia Paulista,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Cedral,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Maranhao,Parnarama,MA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Santa Catarina,Paulo Lopes,SC,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rondonia,Cerejeiras,RO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Sao Simao,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Iguape,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Reserva do Cabacal,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Itatinga,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sergipe,Riachao do Dantas,SE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Travesseiro,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Vila Propicio,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Bahia,Varzedo,BA,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Amazonas,Ipixuna,AM,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Groairas,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Pedras Altas,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso do Sul,Ladario,MS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Bom Sucesso de Itarare,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Natalandia,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Tocantins,Arraias,TO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Mato Grosso,Sao Felix do Araguaia,MT,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Charrua,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Ceara,Aracoiaba,CE,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Buritizeiro,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Goias,Nova Veneza,GO,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Alto Caparao,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Silvianopolis,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Sao Paulo,Iacanga,SP,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Minas Gerais,Cipotanea,MG,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Rolador,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Rio Grande do Sul,Ronda Alta,RS,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
Alagoas,Agua Branca,AL,2017-09-06 09:47:30.748018-03,2017-09-06 09:47:30.748018-03
